CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 50.147
0.0 	 5.7 	 0.0 	 49.173
0.3 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 49.66
1.0 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 48.686
0.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 49.173
1.2 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 48.686
13.1 	 5.8 	 0.0 	 49.66
25.5 	 6.3 	 0.0 	 50.634
25.4 	 6.8 	 0.0 	 51.121
31.2 	 7.2 	 0.0 	 51.121
25.5 	 7.6 	 0.0 	 51.121
25.5 	 7.9 	 0.0 	 52.095
25.2 	 8.1 	 0.0 	 51.608
11.5 	 5.7 	 0.0 	 52.095
0.5 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 50.634
0.2 	 5.7 	 0.0 	 50.634
1.0 	 5.7 	 0.0 	 50.147
0.0 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.66
1.0 	 5.7 	 0.0 	 50.147
0.0 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 50.634
0.7 	 5.7 	 0.0 	 50.634
0.5 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 50.147
19.6 	 5.9 	 0.0 	 50.634
25.2 	 6.5 	 0.0 	 50.147
25.5 	 6.8 	 0.0 	 51.608
31.1 	 7.3 	 0.0 	 52.095
25.6 	 7.6 	 0.0 	 52.095
25.7 	 8.0 	 0.0 	 52.095
25.0 	 8.1 	 0.0 	 52.095
4.0 	 5.7 	 0.0 	 51.608
0.2 	 5.7 	 0.0 	 51.121
0.0 	 5.7 	 0.0 	 50.634
0.7 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 50.147
