CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 6.0 	 0.0 	 50.634
0.2 	 6.0 	 0.0 	 50.147
0.2 	 6.0 	 0.0 	 51.121
0.0 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 51.121
0.5 	 6.0 	 0.0 	 51.121
0.0 	 6.0 	 0.0 	 51.121
1.0 	 6.0 	 0.0 	 50.147
0.7 	 6.0 	 0.0 	 50.147
0.2 	 6.0 	 0.0 	 50.634
0.5 	 6.0 	 0.0 	 49.66
0.7 	 6.0 	 0.0 	 50.634
0.5 	 6.0 	 0.0 	 50.147
0.7 	 6.0 	 0.0 	 51.121
0.5 	 6.0 	 0.0 	 50.634
0.2 	 6.0 	 0.0 	 51.121
0.7 	 6.0 	 0.0 	 51.608
1.0 	 6.0 	 0.0 	 50.634
0.0 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 51.121
1.0 	 6.0 	 0.0 	 50.634
0.0 	 6.0 	 0.0 	 50.634
0.7 	 6.0 	 0.0 	 50.634
0.7 	 6.0 	 0.0 	 50.147
0.2 	 6.0 	 0.0 	 49.66
0.7 	 6.0 	 0.0 	 49.66
0.7 	 6.0 	 0.0 	 49.66
0.2 	 6.0 	 0.0 	 51.121
0.7 	 6.0 	 0.0 	 50.634
0.5 	 6.0 	 0.0 	 51.121
13.9 	 6.1 	 0.0 	 52.095
25.5 	 6.7 	 0.0 	 52.582
25.3 	 7.1 	 0.0 	 52.582
30.7 	 7.5 	 0.0 	 52.582
25.8 	 7.9 	 0.0 	 53.556
25.6 	 8.2 	 0.0 	 53.069
25.1 	 8.4 	 0.0 	 53.556
10.7 	 6.0 	 0.0 	 53.069
0.5 	 6.0 	 0.0 	 53.069
0.0 	 6.0 	 0.0 	 52.582
0.0 	 6.0 	 0.0 	 51.608
1.0 	 6.0 	 0.0 	 51.608
0.2 	 6.0 	 0.0 	 52.095
0.7 	 6.0 	 0.0 	 51.121
0.5 	 6.0 	 0.0 	 51.608
0.2 	 6.0 	 0.0 	 51.121
0.5 	 6.0 	 0.0 	 51.608
0.5 	 6.0 	 0.0 	 51.121
0.2 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 51.121
0.2 	 6.0 	 0.0 	 51.608
0.5 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 51.608
0.0 	 6.0 	 0.0 	 51.121
0.7 	 6.0 	 0.0 	 51.121
0.7 	 6.0 	 0.0 	 50.634
1.0 	 6.0 	 0.0 	 51.121
0.5 	 6.0 	 0.0 	 51.608
0.7 	 6.0 	 0.0 	 50.147
15.7 	 6.2 	 0.0 	 52.095
25.4 	 6.7 	 0.0 	 52.095
25.7 	 7.1 	 0.0 	 53.556
30.8 	 7.5 	 0.0 	 53.556
25.4 	 7.9 	 0.0 	 54.53
25.3 	 8.2 	 0.0 	 53.556
25.2 	 8.4 	 0.0 	 53.556
10.0 	 5.9 	 0.0 	 53.069
0.0 	 5.9 	 0.0 	 52.582
0.2 	 5.9 	 0.0 	 52.582
0.2 	 5.9 	 0.0 	 51.608
0.7 	 5.9 	 0.0 	 52.095
0.5 	 5.9 	 0.0 	 52.095
0.3 	 5.9 	 0.0 	 52.095
1.0 	 5.9 	 0.0 	 51.608
0.2 	 5.9 	 0.0 	 51.608
0.5 	 5.9 	 0.0 	 51.608
1.2 	 5.9 	 0.0 	 51.608
0.2 	 5.9 	 0.0 	 51.608
0.5 	 5.9 	 0.0 	 51.608
0.5 	 5.9 	 0.0 	 52.095
0.5 	 5.9 	 0.0 	 50.634
0.5 	 5.9 	 0.0 	 51.608
1.0 	 5.9 	 0.0 	 51.121
0.0 	 5.9 	 0.0 	 51.608
0.7 	 5.9 	 0.0 	 51.121
1.0 	 5.9 	 0.0 	 50.147
0.7 	 5.9 	 0.0 	 51.608
0.5 	 5.9 	 0.0 	 51.608
1.7 	 5.9 	 0.0 	 52.582
23.7 	 6.3 	 0.0 	 52.095
25.4 	 6.8 	 0.0 	 53.556
25.5 	 7.2 	 0.0 	 53.556
30.9 	 7.6 	 0.0 	 53.556
25.2 	 8.0 	 0.0 	 53.556
25.7 	 8.4 	 0.0 	 54.53
23.9 	 5.9 	 0.0 	 53.556
0.0 	 5.9 	 0.0 	 53.069
0.2 	 5.9 	 0.0 	 52.582
0.2 	 5.9 	 0.0 	 52.095
0.0 	 5.9 	 0.0 	 53.556
0.5 	 5.9 	 0.0 	 52.582
1.0 	 5.9 	 0.0 	 52.095
0.2 	 5.9 	 0.0 	 52.582
0.7 	 5.9 	 0.0 	 51.608
1.0 	 5.9 	 0.0 	 51.608
0.2 	 5.9 	 0.0 	 52.582
1.0 	 5.9 	 0.0 	 51.121
0.5 	 5.9 	 0.0 	 52.095
0.2 	 5.9 	 0.0 	 50.634
0.7 	 5.9 	 0.0 	 51.608
0.7 	 5.9 	 0.0 	 52.095
0.0 	 5.9 	 0.0 	 52.095
0.7 	 5.9 	 0.0 	 51.608
0.5 	 5.9 	 0.0 	 52.582
0.0 	 5.9 	 0.0 	 51.608
1.2 	 5.9 	 0.0 	 52.095
2.2 	 5.9 	 0.0 	 52.582
0.2 	 5.9 	 0.0 	 52.095
0.5 	 5.9 	 0.0 	 51.121
1.0 	 5.9 	 0.0 	 51.121
0.2 	 5.9 	 0.0 	 51.121
0.7 	 5.9 	 0.0 	 51.121
0.5 	 5.9 	 0.0 	 52.095
0.0 	 5.9 	 0.0 	 51.608
0.7 	 5.9 	 0.0 	 50.147
0.7 	 5.9 	 0.0 	 51.608
0.2 	 5.9 	 0.0 	 51.121
0.7 	 5.9 	 0.0 	 51.121
0.7 	 5.9 	 0.0 	 51.608
0.2 	 5.9 	 0.0 	 52.095
0.7 	 5.9 	 0.0 	 52.582
0.7 	 5.9 	 0.0 	 51.121
0.0 	 5.9 	 0.0 	 52.095
0.7 	 5.9 	 0.0 	 50.634
0.7 	 5.9 	 0.0 	 51.121
0.2 	 5.9 	 0.0 	 51.121
0.7 	 5.9 	 0.0 	 51.121
0.7 	 5.9 	 0.0 	 51.608
0.0 	 5.9 	 0.0 	 50.634
0.7 	 5.9 	 0.0 	 52.095
0.7 	 5.9 	 0.0 	 50.147
0.0 	 5.9 	 0.0 	 51.608
0.7 	 5.9 	 0.0 	 51.608
1.0 	 5.9 	 0.0 	 50.634
0.5 	 5.9 	 0.0 	 51.121
1.2 	 5.9 	 0.0 	 51.608
1.0 	 5.9 	 0.0 	 51.608
0.0 	 5.9 	 0.0 	 51.608
1.2 	 6.0 	 0.0 	 51.121
