CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 47.712
0.0 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 48.199
0.2 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 48.199
0.5 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 48.686
0.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 47.712
0.0 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 47.712
0.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 47.712
0.5 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 47.712
0.7 	 5.7 	 0.0 	 47.712
0.5 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 48.686
13.9 	 5.8 	 0.0 	 49.173
25.5 	 6.4 	 0.0 	 48.686
25.2 	 6.8 	 0.0 	 49.66
31.3 	 7.2 	 0.0 	 50.634
25.5 	 7.7 	 0.0 	 50.634
25.2 	 8.0 	 0.0 	 50.634
25.3 	 8.2 	 0.0 	 51.121
11.0 	 5.7 	 0.0 	 50.634
0.0 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 50.147
0.2 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.66
0.3 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 48.686
2.0 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
1.0 	 5.7 	 0.0 	 48.199
0.5 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.199
21.9 	 6.0 	 0.0 	 49.173
25.5 	 6.6 	 0.0 	 50.634
25.2 	 7.0 	 0.0 	 51.121
31.1 	 7.3 	 0.0 	 51.121
25.5 	 7.8 	 0.0 	 50.634
25.2 	 8.2 	 0.0 	 51.121
25.4 	 8.2 	 0.0 	 50.634
2.0 	 5.7 	 0.0 	 51.121
0.0 	 5.7 	 0.0 	 50.147
0.2 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 50.147
1.0 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 48.686
1.0 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 48.199
0.2 	 5.7 	 0.0 	 49.173
1.2 	 5.7 	 0.0 	 49.66
0.5 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
1.0 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.199
0.2 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.199
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.0 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 47.225
0.0 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 49.173
