CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 47.712
0.0 	 5.9 	 0.0 	 48.199
0.2 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.199
0.0 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
0.0 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 47.712
0.5 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 48.686
1.0 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 47.712
0.5 	 5.9 	 0.0 	 48.199
0.3 	 5.9 	 0.0 	 48.686
1.2 	 5.9 	 0.0 	 47.712
0.0 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 47.225
0.7 	 5.9 	 0.0 	 47.712
0.5 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 47.225
0.0 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 47.712
0.2 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 47.712
0.5 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 47.712
0.2 	 5.9 	 0.0 	 48.199
28.9 	 6.4 	 0.0 	 49.173
25.5 	 6.8 	 0.0 	 49.173
25.1 	 7.2 	 0.0 	 49.66
31.3 	 7.5 	 0.0 	 49.173
25.5 	 8.0 	 0.0 	 50.634
25.3 	 8.4 	 0.0 	 51.121
20.7 	 5.9 	 0.0 	 50.147
0.5 	 5.9 	 0.0 	 50.147
0.2 	 5.9 	 0.0 	 49.66
0.2 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 49.66
0.7 	 5.9 	 0.0 	 49.66
0.7 	 5.9 	 0.0 	 49.173
0.5 	 5.9 	 0.0 	 49.173
0.2 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 49.66
0.5 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 48.686
1.0 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 49.173
0.0 	 5.9 	 0.0 	 48.686
1.2 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.199
0.0 	 5.9 	 0.0 	 48.199
1.0 	 5.9 	 0.0 	 49.173
1.2 	 5.9 	 0.0 	 48.199
0.0 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 47.712
0.7 	 5.9 	 0.0 	 48.686
1.5 	 5.9 	 0.0 	 48.686
1.2 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 49.173
0.5 	 5.9 	 0.0 	 47.712
0.5 	 5.9 	 0.0 	 48.686
1.5 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
1.0 	 5.9 	 0.0 	 48.686
0.0 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 48.199
0.2 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 48.199
25.1 	 6.3 	 0.0 	 50.634
25.0 	 6.8 	 0.0 	 50.147
25.5 	 7.2 	 0.0 	 51.121
31.3 	 7.5 	 0.0 	 51.121
25.2 	 7.9 	 0.0 	 52.095
25.8 	 8.3 	 0.0 	 50.634
23.6 	 5.9 	 0.0 	 51.121
0.0 	 5.9 	 0.0 	 49.66
0.0 	 5.9 	 0.0 	 50.147
0.5 	 5.9 	 0.0 	 49.66
0.2 	 5.9 	 0.0 	 49.66
0.3 	 5.9 	 0.0 	 50.147
1.2 	 5.9 	 0.0 	 50.147
0.5 	 5.9 	 0.0 	 50.147
0.5 	 5.9 	 0.0 	 49.66
1.0 	 5.9 	 0.0 	 49.173
0.5 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 49.66
0.2 	 5.9 	 0.0 	 49.66
0.7 	 5.9 	 0.0 	 49.66
1.2 	 5.9 	 0.0 	 49.173
0.2 	 5.9 	 0.0 	 49.66
0.5 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 49.173
0.2 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 49.173
1.0 	 5.9 	 0.0 	 49.173
0.0 	 5.9 	 0.0 	 49.66
0.7 	 5.9 	 0.0 	 49.173
0.7 	 5.9 	 0.0 	 49.173
0.0 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.686
1.0 	 5.9 	 0.0 	 49.66
0.2 	 5.9 	 0.0 	 49.66
0.5 	 5.9 	 0.0 	 48.199
0.5 	 5.9 	 0.0 	 48.686
0.2 	 5.9 	 0.0 	 48.686
0.7 	 5.9 	 0.0 	 48.686
1.0 	 5.9 	 0.0 	 49.173
0.0 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 49.173
0.5 	 5.9 	 0.0 	 47.712
0.2 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
1.0 	 5.9 	 0.0 	 48.686
0.0 	 5.9 	 0.0 	 49.173
0.5 	 5.9 	 0.0 	 48.199
0.7 	 5.9 	 0.0 	 48.199
0.2 	 5.9 	 0.0 	 48.686
0.5 	 5.9 	 0.0 	 48.199
