CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.6 	 0.0 	 48.199
0.0 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 48.686
0.0 	 5.6 	 0.0 	 50.147
0.0 	 5.6 	 0.0 	 49.173
0.2 	 5.6 	 0.0 	 48.199
1.0 	 5.6 	 0.0 	 48.686
0.2 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 48.686
0.7 	 5.6 	 0.0 	 48.199
0.2 	 5.6 	 0.0 	 48.199
0.5 	 5.6 	 0.0 	 49.66
0.7 	 5.6 	 0.0 	 48.199
0.5 	 5.6 	 0.0 	 48.686
0.3 	 5.6 	 0.0 	 48.199
1.5 	 5.6 	 0.0 	 48.199
0.2 	 5.6 	 0.0 	 49.173
0.5 	 5.6 	 0.0 	 48.199
0.5 	 5.6 	 0.0 	 49.173
0.0 	 5.6 	 0.0 	 48.686
1.0 	 5.6 	 0.0 	 48.686
0.7 	 5.6 	 0.0 	 48.686
0.0 	 5.6 	 0.0 	 48.686
0.7 	 5.6 	 0.0 	 48.199
0.3 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 47.712
0.5 	 5.6 	 0.0 	 48.686
19.2 	 5.9 	 0.0 	 49.173
25.4 	 6.4 	 0.0 	 49.173
25.3 	 6.8 	 0.0 	 49.66
31.2 	 7.2 	 0.0 	 49.66
25.1 	 7.6 	 0.0 	 51.121
25.7 	 7.9 	 0.0 	 51.608
25.5 	 8.1 	 0.0 	 51.608
6.2 	 5.6 	 0.0 	 51.121
0.2 	 5.6 	 0.0 	 51.608
0.5 	 5.6 	 0.0 	 50.634
0.5 	 5.6 	 0.0 	 49.66
0.7 	 5.6 	 0.0 	 50.634
1.2 	 5.6 	 0.0 	 49.66
0.2 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 49.66
1.2 	 5.6 	 0.0 	 49.173
0.2 	 5.6 	 0.0 	 48.686
0.7 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 48.686
0.2 	 5.6 	 0.0 	 49.173
0.5 	 5.6 	 0.0 	 49.66
1.0 	 5.6 	 0.0 	 49.173
0.0 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 49.66
0.7 	 5.6 	 0.0 	 49.173
0.2 	 5.6 	 0.0 	 49.173
0.5 	 5.6 	 0.0 	 49.66
1.0 	 5.6 	 0.0 	 49.173
0.2 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 49.173
21.6 	 5.9 	 0.0 	 48.686
25.2 	 6.4 	 0.0 	 50.147
25.1 	 6.8 	 0.0 	 51.121
31.1 	 7.2 	 0.0 	 50.634
25.2 	 7.6 	 0.0 	 52.095
25.2 	 8.0 	 0.0 	 51.608
25.7 	 8.1 	 0.0 	 52.095
2.7 	 5.6 	 0.0 	 50.147
0.5 	 5.6 	 0.0 	 51.121
0.5 	 5.6 	 0.0 	 49.66
0.0 	 5.6 	 0.0 	 50.634
0.7 	 5.6 	 0.0 	 49.66
0.5 	 5.6 	 0.0 	 50.147
0.2 	 5.6 	 0.0 	 50.147
0.2 	 5.6 	 0.0 	 48.686
1.2 	 5.6 	 0.0 	 49.66
0.5 	 5.6 	 0.0 	 48.686
0.5 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 49.66
0.0 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 49.66
0.7 	 5.6 	 0.0 	 49.66
0.2 	 5.6 	 0.0 	 49.173
0.7 	 5.6 	 0.0 	 48.686
1.0 	 5.6 	 0.0 	 48.686
0.7 	 5.6 	 0.0 	 50.147
0.0 	 5.6 	 0.0 	 49.173
0.5 	 5.6 	 0.0 	 49.173
1.0 	 5.6 	 0.0 	 49.66
0.0 	 5.6 	 0.0 	 49.173
