CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 48.199
0.5 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 47.712
1.0 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
1.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 48.686
0.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 48.199
0.0 	 5.7 	 0.0 	 48.199
1.0 	 5.7 	 0.0 	 47.712
1.0 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 47.712
1.0 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.199
15.2 	 5.9 	 0.0 	 48.686
25.4 	 6.4 	 0.0 	 49.66
25.7 	 6.9 	 0.0 	 49.66
31.0 	 7.3 	 0.0 	 50.634
25.4 	 7.7 	 0.0 	 49.66
25.6 	 8.0 	 0.0 	 50.147
25.2 	 8.2 	 0.0 	 51.121
8.4 	 5.7 	 0.0 	 50.147
0.2 	 5.7 	 0.0 	 50.147
0.2 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 50.634
1.0 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 49.66
1.0 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 49.173
0.5 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 48.686
1.0 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 47.712
0.5 	 5.7 	 0.0 	 49.173
0.2 	 5.7 	 0.0 	 48.199
0.7 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.199
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 48.686
0.2 	 5.7 	 0.0 	 48.686
0.7 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 48.686
20.0 	 6.0 	 0.0 	 49.173
25.1 	 6.5 	 0.0 	 50.634
25.5 	 7.0 	 0.0 	 50.147
31.1 	 7.3 	 0.0 	 50.634
25.5 	 7.7 	 0.0 	 52.095
25.3 	 8.1 	 0.0 	 51.608
25.3 	 8.2 	 0.0 	 51.121
3.2 	 5.7 	 0.0 	 51.608
0.3 	 5.7 	 0.0 	 49.66
0.0 	 5.7 	 0.0 	 50.634
0.5 	 5.7 	 0.0 	 50.634
0.7 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 50.147
0.7 	 5.7 	 0.0 	 49.173
0.0 	 5.7 	 0.0 	 48.686
1.5 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 50.147
0.2 	 5.7 	 0.0 	 50.147
0.5 	 5.7 	 0.0 	 49.66
0.7 	 5.7 	 0.0 	 48.686
0.0 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 49.173
0.7 	 5.7 	 0.0 	 49.66
0.2 	 5.7 	 0.0 	 48.686
0.5 	 5.7 	 0.0 	 49.173
1.0 	 5.7 	 0.0 	 48.199
