CPU: 	 Mem: 	 Swap: 	 CPU Temp:

0.0 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 49.66
0.5 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 49.66
0.0 	 5.8 	 0.0 	 50.147
1.0 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 49.173
0.7 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 49.173
1.0 	 5.8 	 0.0 	 48.686
0.0 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 48.686
0.0 	 5.8 	 0.0 	 49.66
1.2 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 49.66
0.7 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 48.686
0.2 	 5.8 	 0.0 	 50.147
19.2 	 6.0 	 0.0 	 51.608
25.8 	 6.6 	 0.0 	 50.634
25.1 	 6.9 	 0.0 	 52.095
31.2 	 7.4 	 0.0 	 52.095
25.1 	 7.8 	 0.0 	 53.069
25.2 	 8.1 	 0.0 	 52.095
25.7 	 8.2 	 0.0 	 53.069
4.7 	 5.8 	 0.0 	 51.608
0.0 	 5.8 	 0.0 	 51.608
1.0 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 51.121
0.5 	 5.8 	 0.0 	 52.095
0.7 	 5.8 	 0.0 	 51.121
1.0 	 5.8 	 0.0 	 50.634
0.0 	 5.8 	 0.0 	 51.121
1.2 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 50.147
0.0 	 5.8 	 0.0 	 50.147
1.0 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 49.66
0.7 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 49.66
1.0 	 5.8 	 0.0 	 50.147
1.0 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 49.66
27.7 	 6.3 	 0.0 	 51.608
25.5 	 6.7 	 0.0 	 51.608
25.2 	 7.1 	 0.0 	 51.608
31.3 	 7.5 	 0.0 	 52.095
25.7 	 7.9 	 0.0 	 53.069
25.2 	 8.2 	 0.0 	 52.582
21.9 	 5.8 	 0.0 	 52.095
0.2 	 5.8 	 0.0 	 51.608
0.2 	 5.8 	 0.0 	 52.095
0.5 	 5.8 	 0.0 	 51.608
0.5 	 5.8 	 0.0 	 51.121
0.0 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 51.121
0.5 	 5.8 	 0.0 	 51.608
0.5 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 51.121
0.0 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 51.608
0.0 	 5.8 	 0.0 	 50.147
1.0 	 5.8 	 0.0 	 51.608
0.5 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 51.608
1.2 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 51.121
0.2 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.634
0.0 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 49.66
0.5 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.634
0.0 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.634
1.0 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
1.2 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 50.147
0.2 	 5.8 	 0.0 	 51.121
0.7 	 5.8 	 0.0 	 50.634
0.7 	 5.8 	 0.0 	 50.634
0.2 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.7 	 5.8 	 0.0 	 50.147
0.5 	 5.8 	 0.0 	 51.121
1.2 	 5.8 	 0.0 	 49.66
0.2 	 5.8 	 0.0 	 51.121
0.5 	 5.8 	 0.0 	 50.147
1.0 	 5.8 	 0.0 	 50.147
